Year,Albatross Plain,False Peak,Gonydale,GP Valley,Green Hill,Hummocks,Spire Crag,Tafelkop,Tarn Moss,Triple Peak,West Point
2001,89,35,85,174,69,28,128,8,13,27,
2002,110,59,67,55,12,6,,9,12,6,
2003,117,,76,,38,12,120,9,9,,
2004,52,20,105,70,33,35,35,7,16,12,125
2005,130,30,99,85,60,10,71,12,32,21,
2006,158,33,74,143,40,25,55,5,31,56,
2007,94,12,82,28,72,24,73,6,25,12,16
2008,47,13,61,4,30,22,37,5,16,9,2
2009,123,7,75,40,18,15,102,7,24,31,45
2010,50,8,52,14,67,,64,5,18,13,22
2011,74,26,80,66,139,7,37,3,20,21,
2012,113,35,99,52,189,20,49,7,15,57,
2013,,,,,,,,,,,
2014,11,6,,14,72,,23,9,13,15,
2015,134,40,106,81,58,27,69,10,32,36,62
2016,55,11,58,34,28,8,38,6,25,6,20
2017,139,23,114,85,19,27,80,8,26,46,27
2018,34,19,43,40,19,24,43,1,21,36,27
2019,,,,,,,,,,,
