Year,Colony,n_nests,BREED_SUCC
2006,Gonydale,57,0.736842105263158
2007,Gonydale,113,0.716814159292035
2008,Gonydale,164,0.390243902439024
2009,Gonydale,155,0.503225806451613
2010,Gonydale,146,0.36986301369863
2011,Gonydale,195,0.435897435897436
2012,Gonydale,193,0.595854922279793
2013,Gonydale,156,0.576923076923077
2014,Gonydale,136,0.294117647058824
2015,Gonydale,176,0.590909090909091
2016,Gonydale,146,0.363013698630137
2017,Gonydale,163,0.699386503067485
2018,Gonydale,152,0.282894736842105
2019,Gonydale,192,0.630208333333333
